Nama Kapal,Tipe Kapal,Prediksi ETA,Jarak / Waktu,Arah / Kecepatan,Draught Saat Ini,Status Navigasi,Posisi Diterima,IMO / MMSI,Panggilan Sinyal,Bendera,Panjang / Lebar
PRELUDE,Offshore Support Vessel,-,-,45.7° / 0.1 kn,19.1 m,-,7 days ago,9648714 / 503000101,VNKL,Australia,488 / 74 m
PIONEERING SPIRIT,Crane Ship,,,254° / 8.9 kn,11.5 m,-,8 days ago,9593505 / 249110000,9HA4112,Malta,382 / 124 m
CORAL-SUL FLNG,Offshore Support Vessel,-,-,289.2° / 0.2 kn,-,-,6 days ago,9831684 / 650000123,C91SPF,Mozambique,424 / 66 m
ICON OF THE SEAS,Passenger (Cruise) Ship,-,-,43° / 20.5 kn,9.1 m,Under way,11 min ago,9829930 / 311001178,C6FU5,Bahamas,365 / 68 m
EVER ACME,Container Ship,,,185° / 18.2 kn,14.3 m,Under way,1 min ago,9943267 / 563176600,9V7305,Singapore,400 / 62 m
FSO ASIA,FSO,-,-,75° / 0.0 kn,16.0 m,Restricted,0 min ago,9224752 / 538003426,V7QR6,Marshall Islands,380 / 68 m
FSO AFRICA,FSO,-,-,326° / 0.0 kn,18.5 m,Restricted,1 min ago,9224764 / 538002388,V7IJ5,Marshall Islands,380 / 68 m
CMA CGM LOUVRE,Container Ship,-,-,295.3° / 0.0 kn,15.8 m,Moored,2 min ago,9839143 / 228394900,FMMY,France,400 / 62 m
CMA CGM SORBONNE,Container Ship,,,236.3° / 19.4 kn,16.0 m,-,11 days ago,9839210 / 228038360,FMPF,France,400 / 62 m
CMA CGM MONTMARTRE,Container Ship,,,165.6° / 20.5 kn,12.7 m,-,7 days ago,9839155 / 228397700,FMNH,France,400 / 62 m
CMA CGM PALAIS ROYAL,Container Ship,,,176.7° / 20.1 kn,14.3 m,Under way,2 hours ago,9839181 / 228394600,FMMT,France,400 / 62 m
CMACGM JACQUES SAADE,Container Ship,,,305.5° / 13.6 kn,15.8 m,-,6 days ago,9839179 / 228386700,FLZE,France,400 / 62 m
CC CHAMPS ELYSEES,Container Ship,-,-,244.9° / 0.0 kn,15.0 m,Moored,1 min ago,9839131 / 228386800,FLZF,France,399 / 61 m
CMA CGM RIVOLI,Container Ship,,,161.9° / 15.8 kn,13.4 m,-,3 days ago,9839193 / 228397600,FMNG,France,400 / 62 m
CMA CGM TROCADERO,Container Ship,,,15° / 18.9 kn,16.0 m,Under way,3 min ago,9839167 / 228402900,FMOL,France,400 / 62 m
CMA CGM CONCORDE,Container Ship,-,-,54.3° / 18.3 kn,14.4 m,-,8 days ago,9839208 / 228401800,FMOF,France,400 / 62 m
UTOPIA OF THE SEAS,Passenger (Cruise) Ship,,,148° / 22.7 kn,9.3 m,-,40 hours ago,9880001 / 311001259,C6G19,Bahamas,362 / 66 m
EVER ALOT,Container Ship,,,292.9° / 12.3 kn,16.7 m,-,5 days ago,9893955 / 352001259,3E4008,Panama,399 / 61 m
EVER ATOP,Container Ship,-,-,104.9° / 0.0 kn,13.7 m,At anchor,34 min ago,9893993 / 563166100,9V7624,Singapore,399 / 62 m
EVER APEX,Container Ship,,,40.9° / 14.5 kn,11.9 m,-,31 hours ago,9893979 / 563155500,9V7623,Singapore,399 / 62 m
EVER ARIA,Container Ship,-,-,24.7° / 0.0 kn,11.4 m,Moored,1 min ago,9909132 / 352001747,3E2585,Panama,399 / 61 m
MSC LORETO,Container Ship,-,-,57.2° / 0.0 kn,16.4 m,-,17 hours ago,9934735 / 636022600,5LJP2,Liberia,399 / 60 m
MSC MICHELCAPPELLINI,Container Ship,,,166° / 18.9 kn,14.5 m,Under way,3 min ago,9929431 / 636022604,5LJP6,Liberia,399 / 61 m
MSC MARIELLA,Container Ship,-,-,70.6° / 0.0 kn,12.6 m,Moored,1 min ago,9934747 / 636022920,5LLB6,Liberia,399 / 61 m
MSC IRINA,Container Ship,,,315.1° / 21.5 kn,15.4 m,Under way,11 hours ago,9929429 / 636022601,5LJP3,Liberia,400 / 61 m
MSC TURKIYE,Container Ship,-,-,347.6° / 14.8 kn,11.9 m,-,44 hours ago,9931288 / 636023099,5LLY3,Liberia,400 / 62 m
MSC MICOL,Container Ship,,,324.5° / 20.2 kn,16.3 m,-,4 days ago,9931290 / 636023098,5LLY2,Liberia,400 / 61 m
MSC TESSA,Container Ship,-,-,49.6° / 13.9 kn,12.0 m,-,12 days ago,9930038 / 636022102,5LHE8,Liberia,400 / 62 m
MSC NICOLA MASTRO,Container Ship,,,29° / 17.9 kn,15.4 m,Under way,0 min ago,9930064 / 636022605,5LJP7,Liberia,399 / 61 m
MSC CELESTINOMARESCA,Container Ship,-,-,76.3° / 0.0 kn,9.4 m,-,4 days ago,9930040 / 636022516,5LJE3,Liberia,399 / 61 m
MSC RAYA,Container Ship,,,178.6° / 15.0 kn,13.6 m,-,7 days ago,9930052 / 636022103,5LHE9,Liberia,399 / 61 m
MSC METTE,Container Ship,-,-,262.1° / 0.0 kn,12.1 m,Moored,31 min ago,9936630 / 636023084,5LLW4,Liberia,399 / 61 m
MSC GEMMA,Container Ship,,,60.7° / 18.4 kn,13.2 m,Under way,2 hours ago,9936616 / 636022603,5LJP5,Liberia,399 / 61 m
MSC CHINA,Container Ship,-,-,11.5° / 1.7 kn,15.5 m,Under way,0 min ago,9936642 / 636023087,5LLW7,Liberia,399 / 61 m
MSC CLAUDE GIRARDET,Container Ship,,,208.6° / 13.4 kn,13.8 m,Under way,1 min ago,9936628 / 636022921,5LLB7,Liberia,399 / 61 m
WONDER OF THE SEAS,Passenger (Cruise) Ship,,,120.7° / 11.8 kn,9.3 m,Under way,0 min ago,9838345 / 311001033,C6EY2,Bahamas,362 / 66 m
EVER ARM,Container Ship,,,313.8° / 19.6 kn,16.7 m,-,6 days ago,9893931 / 416070000,BHJG,Taiwan,400 / 62 m
EVER ACE,Container Ship,-,-,49.6° / 20.5 kn,13.3 m,Under way,5 hours ago,9893890 / 352986146,3E2382,Panama,400 / 62 m
EVER ART,Container Ship,-,-,31.8° / 0.0 kn,12.4 m,Moored,0 min ago,9893943 / 416071000,BHJH,Taiwan,400 / 62 m
