Nama Kapal,Tipe Kapal,Prediksi ETA,Jarak / Waktu,Arah / Kecepatan,Draught Saat Ini,Status Navigasi,Posisi Diterima,IMO / MMSI,Panggilan Sinyal,Bendera,Panjang / Lebar
PRELUDE,Offshore Support Vessel,-,-, ,19.1 m,-,7 days ago,9648714 / 503000101,VNKL,Australia,488 / 74 m
PIONEERING SPIRIT,Crane Ship,,, ,11.5 m,-,8 days ago,9593505 / 249110000,9HA4112,Malta,382 / 124 m
CORAL-SUL FLNG,Offshore Support Vessel,-,-, ,-,-,6 days ago,9831684 / 650000123,C91SPF,Mozambique,424 / 66 m
ICON OF THE SEAS,Passenger (Cruise) Ship,-,-, ,9.1 m,Under way,36 min ago,9829930 / 311001178,C6FU5,Bahamas,365 / 68 m
EVER ACME,Container Ship,,, ,14.3 m,Under way,2 min ago,9943267 / 563176600,9V7305,Singapore,400 / 62 m
FSO ASIA,FSO,-,-, ,16.0 m,Restricted,0 min ago,9224752 / 538003426,V7QR6,Marshall Islands,380 / 68 m
FSO AFRICA,FSO,-,-, ,18.5 m,Restricted,1 min ago,9224764 / 538002388,V7IJ5,Marshall Islands,380 / 68 m
CMA CGM LOUVRE,Container Ship,-,-, ,15.8 m,Moored,1 min ago,9839143 / 228394900,FMMY,France,400 / 62 m
CMA CGM SORBONNE,Container Ship,,, ,16.0 m,-,11 days ago,9839210 / 228038360,FMPF,France,400 / 62 m
CMA CGM MONTMARTRE,Container Ship,,, ,12.7 m,-,7 days ago,9839155 / 228397700,FMNH,France,400 / 62 m
CMA CGM PALAIS ROYAL,Container Ship,,, ,14.3 m,Under way,3 min ago,9839181 / 228394600,FMMT,France,400 / 62 m
CMACGM JACQUES SAADE,Container Ship,,, ,15.8 m,-,6 days ago,9839179 / 228386700,FLZE,France,400 / 62 m
CC CHAMPS ELYSEES,Container Ship,-,-, ,15.0 m,Moored,2 min ago,9839131 / 228386800,FLZF,France,399 / 61 m
CMA CGM RIVOLI,Container Ship,,, ,13.4 m,-,3 days ago,9839193 / 228397600,FMNG,France,400 / 62 m
CMA CGM TROCADERO,Container Ship,,, ,16.0 m,Under way,5 min ago,9839167 / 228402900,FMOL,France,400 / 62 m
